protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
tcp,172.24.245.120,192.168.0.1,11434,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,12926,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,14341,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,15156,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,15610,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,16302,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,27990,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,30774,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,33796,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,38671,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,39439,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,41176,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,42334,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,43149,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,44027,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,44804,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,45716,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,46437,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,47781,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
tcp,172.24.245.120,192.168.0.1,48679,80,S,54,64,http,S0,0.0,0.0,0.0,1,54,54.0,1,0,0,0,neptune
